|[events]|[sessions]|[rounds]|[classes]|[divisions]|[categories]|[rounds_categories]|[participants]|[accosiations]|[countries]|[individuals]|[club_teams]|[teams]|[teammembers]
:--|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:|:-:
[association_id]| | | | | | | | |key|||||
[country_id]| | | | | | | | | |key||||
[class_id]| | | |key| |key|key| | ||x|x||x
[club_team_id]||||||||||||key||
[division_id]| | | | |key|key|key| | ||x|x||x
[event_id]|key|key|key|key|key|key|key|key|key|key|key|key|key|key
[individual_id]|||||||||||key|||
[participant_id]| | | | | | | |key| ||key|||key
[round_id]| | |key| | | |key| | |||||
[session_id]| |key|key| | | | | | |||||key
[team_id]|||||||||||||key|key
---| | | | | | | | | |||||
[age_first]| | | |x| | | | | |||||
[age_last]| | | |x| | | | | |||||
[date_of_birth]| | | | | | | |x| |||||
[distance]| | | | | | |x| | |||||
[face]| | | | | | |x| | |||||
[first_name]| | | | | | | |x| |||||
[foreign_key_divider]|x| | | | | | | | |||||
[gender]| | | |x| | | |x| |||||
[last_name]| | | | | | | |x| |||||
[number_of_targets]| |x| | | | | | | |||||
[member_of_country]| | | | | | | |x| |||||
[member_of_accosiation]| | | | | | | |x| |||x||
[middle_name]| | | | | | | |x| |||||
[part_of]| | | | | | | | |x|x||||
[starter_per_target]| |x| | | | | | | |||||
[title]|x|x|x|x|x|x| | |x|x||x|x|
[title_short]|x|x|x|x|x|x| | |x|x||x|x|
[tiebreaker_1]| | | | | | | | | |||||
[tiebreaker_2]| | | | | | | | | |||||
[tiebreaker_3]| | | | | | | | | |||||
[venue]| |x| | | | | | | |||||
